slat,slon,dlat,dlon
-73.96901703,40.75410843,-73.99033356,40.75144577
-73.99016571,40.77227783,-73.99272156,40.75608444
-73.98992157,40.72933197,-73.96697998,40.76912689
-73.98840332,40.74912262,-73.92862701,40.76075745
-74.00810242,40.74148941,-74.00995636,40.71461105
-73.94446564,40.77929306,-73.97454071,40.79341888
-74.00489044,40.70906448,-73.99727631,40.72194672
-73.98897552,40.73667145,-74.00177002,40.74038315
-74.00862885,40.73945999,-73.98188782,40.77103806
-74.0043869,40.74234009,-73.99491119,40.75019836
-73.9726944,40.793396,-73.96078491,40.79745483
-73.97770691,40.75231934,-74.00598907,40.74005127
-73.93647766,40.81441116,-73.94327545,40.80265808
-73.99532318,40.7497673,-73.97905731,40.75896454
-73.96624756,40.76792145,-73.9923172,40.74940109
-73.96163177,40.76850128,-73.98923492,40.71417618
-73.95684814,40.76662064,-73.93890381,40.79330826
-73.95314789,40.79161835,-73.96820831,40.79722977
-74.0064621,40.74386978,-74.01550293,40.71134186
-74.00363159,40.71355438,-73.99139404,40.73330688
-73.97593689,40.75195313,-73.98368073,40.74092484
-73.98253632,40.77220154,-73.98462677,40.75706863
-73.97845459,40.7413063,-73.97649384,40.73245621
-73.95571899,40.77794647,-73.96205902,40.77314377
-73.998909,40.76107025,-73.96038055,40.80387878
-73.99660492,40.72550964,-73.99623871,40.72579575
-73.98000336,40.78566742,-73.96447754,40.77593231
-73.99087524,40.75617981,-73.9740448,40.75735855
-73.95514679,40.77324295,-73.95890045,40.78060532
-73.97383118,40.76376724,-73.99476624,40.76020813
-74.00232697,40.73981857,-73.99761963,40.75656891
-74.00536346,40.72233963,-73.99469757,40.74013901
-73.99900818,40.7280159,-73.97809601,40.71750259
-73.98465729,40.76844025,-73.97484589,40.78286743
-74.00016785,40.7345314,-73.9911499,40.75087738
-73.99060059,40.71868134,-73.95669556,40.71727371
-74.01725006,40.70847702,-73.97992706,40.76135635
-73.96849823,40.76488876,-73.96310425,40.7689743
-73.96092987,40.7692337,-73.96497345,40.76653671
-73.94530487,40.77412033,-73.9541626,40.77898788
-73.96432495,40.7735939,-73.98976898,40.73848343
-73.98694611,40.74774933,-73.97908783,40.78717422
-73.96042633,40.77862549,-73.96560669,40.80550766
-73.98839569,40.72880936,-74.00284576,40.74954224
-73.97775269,40.74573898,-73.98106384,40.74704742
-73.96279907,40.79442978,-73.97798157,40.7804718
-73.95432281,40.78990173,-73.9543457,40.77642059
-73.97238922,40.79413986,-73.97782135,40.78704834
-73.97833252,40.74160004,-73.98966217,40.73833847
-74.00317383,40.73298645,-74.00804138,40.71118546
-74.00275421,40.73958969,-74.00265503,40.7504158
-73.96083832,40.77475739,-73.97061157,40.75882339
-73.95822906,40.7646904,-74.00109863,40.71469116
-73.98527527,40.75824356,-74.00197601,40.73824692
-73.981987,40.77258682,-73.97193909,40.76605988
-73.99588013,40.75918961,-73.97987366,40.75278091
-73.9860611,40.74716187,-73.98027039,40.73514938
-74.01280975,40.70817947,-73.98497772,40.74208832
-73.97805023,40.75409317,-73.98485565,40.77419281
-73.9908371,40.75569916,-73.97616577,40.76387024
-73.9709549,40.7480545,-73.98865509,40.75638199
-73.87287903,40.77420044,-73.9957962,40.76435089
-73.98030853,40.78155899,-73.95867157,40.77833939
-73.87088776,40.77381134,-73.83603668,40.70547867
-74.00901031,40.71863174,-74.01075745,40.71749115
-73.93978119,40.79005051,-73.91638184,40.84195709
-73.98210144,40.74590302,-73.99384308,40.68325043
-73.96476746,40.75566864,-73.96618652,40.76200104
-73.97937775,40.76713181,-73.97219086,40.78131866
-74.00280762,40.72358704,-73.99976349,40.73041534
-73.94911957,40.78525925,-73.94694519,40.79574585
-73.97509766,40.75463867,-73.99555206,40.73588943
-73.98469543,40.75846863,-73.99248505,40.74494553
-73.97271729,40.74938965,-73.96711731,40.7566185
-73.98731995,40.7685051,-73.97409058,40.75982666
-73.98505402,40.75328064,-73.99092102,40.77091599
-73.99313354,40.7678566,-73.98301697,40.76774597
-73.97830963,40.75347137,-73.99158478,40.75004196
-73.9822464,40.76221848,-73.99575043,40.74399185
-73.99717712,40.72201538,-73.96521759,40.7168808
-73.78826141,40.64736176,-74.00744629,40.5771904
-73.97509766,40.76512146,-73.9707489,40.7605896
-73.99104309,40.74491501,-73.97962189,40.76060486
-73.98851013,40.74293518,-74.01062012,40.72350693
-74.00293732,40.72832108,-73.97522736,40.74451828
-74.0003891,40.73242188,-73.95544434,40.76574326
-73.96829224,40.79678726,-73.96225739,40.80226135
-74.0067749,40.71618271,-73.99253082,40.7240715
-73.97192383,40.74735641,-73.97999573,40.73352432
-74.00566864,40.71779633,-73.97205353,40.7473259
-74.00289154,40.74477768,-73.96363831,40.76577759
-73.87091064,40.77381897,-73.94096375,40.81591034
-74.00550079,40.70938873,-73.98052216,40.72179031
-73.97888184,40.72396088,-73.94206238,40.79539108
-74.0062027,40.73413086,-73.99443054,40.73639679
-73.98873901,40.75185776,-73.98373413,40.75286102
-73.99030304,40.75671387,-73.95669556,40.76800537
-73.94441223,40.71473312,-73.94482422,40.72558594
-74.00092316,40.73185349,-73.9817276,40.74945068
-73.94727325,40.77991867,-73.95586395,40.77961349
-74.0157547,40.71088409,-73.97891998,40.75048828
-73.98609924,40.76210022,-73.96864319,40.75600052
